Date, Open, High, Low, Close, Volume
05/16/25, 446.05, 450.00, 414.35, 426.55, 10394490
05/15/25, 426.90, 438.95, 426.40, 434.40, 3882851
05/14/25, 439.15, 448.20, 430.40, 432.85, 4145511
05/13/25, 450.00, 450.00, 434.70, 438.60, 4590677
05/12/25, 418.00, 443.30, 406.00, 441.40, 10217630
05/09/25, 436.40, 447.00, 433.65, 444.30, 4751335
05/08/25, 445.55, 445.70, 425.35, 428.90, 6441211
05/07/25, 441.00, 471.35, 440.00, 446.80, 8526976
05/06/25, 457.95, 459.00, 439.70, 441.05, 3898415
05/05/25, 468.50, 469.00, 453.05, 459.10, 4197978
05/02/25, 444.00, 459.90, 443.30, 455.90, 6593039
05/01/25, 448.05, 463.50, 438.00, 444.25, 4487767
04/30/25, 428.65, 442.50, 415.15, 435.10, 8027122
04/29/25, 408.40, 429.75, 406.05, 424.35, 5668491
04/28/25, 409.20, 414.35, 403.10, 414.30, 3373809
04/25/25, 411.00, 411.35, 394.70, 403.50, 5486170
04/24/25, 400.70, 412.40, 398.45, 410.10, 4900365
04/23/25, 397.60, 410.75, 394.65, 408.90, 6202739
04/22/25, 380.05, 402.00, 380.00, 390.00, 11706160
04/16/25, 420.50, 425.95, 414.05, 421.25, 6111577
04/15/25, 438.10, 441.00, 425.65, 425.65, 7707010
04/14/25, 439.85, 441.95, 432.30, 435.85, 4736163
04/11/25, 412.35, 425.75, 410.90, 420.30, 5908211
04/10/25, 465.00, 465.00, 409.55, 409.55, 8520241
04/09/25, 405.20, 418.30, 398.25, 403.95, 8068687
04/08/25, 440.00, 444.55, 424.55, 434.05, 5859145
04/07/25, 401.00, 446.80, 399.95, 434.05, 10778290
04/04/25, 446.35, 454.45, 428.25, 432.00, 6709656
04/03/25, 455.50, 471.40, 455.10, 456.85, 4874224
04/02/25, 473.05, 474.15, 461.30, 466.60, 4627950
04/01/25, 484.60, 489.00, 476.60, 479.00, 3627870
03/31/25, 474.00, 474.55, 462.00, 469.80, 4760696
03/28/25, 479.00, 486.50, 473.65, 474.05, 4919845
03/27/25, 493.00, 495.75, 480.10, 480.60, 6639318
03/26/25, 508.50, 512.20, 499.50, 499.80, 4531006
03/25/25, 523.00, 526.50, 512.40, 512.40, 3311193
03/24/25, 527.10, 528.80, 512.40, 521.70, 3452262
03/21/25, 537.30, 541.40, 519.90, 528.80, 13523270
03/20/25, 538.90, 548.10, 533.30, 544.30, 4008596
03/19/25, 555.00, 555.50, 538.80, 546.30, 3544812
03/18/25, 550.00, 573.30, 546.50, 549.60, 4863773
03/17/25, 535.30, 551.20, 535.00, 545.20, 3102465
03/14/25, 530.80, 535.90, 515.20, 530.20, 4539344
03/13/25, 507.20, 535.30, 506.50, 525.00, 5045567
03/12/25, 529.40, 529.80, 500.20, 507.60, 8454058
03/11/25, 550.00, 551.40, 530.00, 530.50, 6024341
03/10/25, 598.00, 605.50, 538.60, 549.40, 9658525
03/07/25, 606.60, 622.60, 594.70, 597.60, 3495319
03/06/25, 623.00, 629.10, 604.00, 612.40, 3219069
03/05/25, 616.10, 649.40, 614.00, 631.50, 3515981
03/04/25, 634.60, 642.40, 616.20, 616.20, 3058878
03/03/25, 650.00, 651.20, 636.20, 639.10, 2242871
02/28/25, 641.00, 648.20, 631.20, 644.50, 7285161
02/27/25, 630.00, 645.80, 628.30, 641.80, 2974061
02/26/25, 644.50, 652.80, 638.80, 642.80, 2752711
02/25/25, 646.00, 675.20, 645.90, 657.00, 6810455
02/24/25, 636.40, 642.90, 629.00, 639.20, 4389019
02/21/25, 599.60, 633.60, 598.40, 630.00, 7909348
02/20/25, 594.00, 599.90, 588.60, 595.30, 4058517
02/19/25, 576.70, 598.30, 575.60, 597.50, 4621635
02/18/25, 572.90, 590.90, 567.70, 587.00, 3699879
02/17/25, 561.00, 575.60, 559.80, 569.40, 2524305
02/14/25, 568.00, 570.90, 556.20, 557.50, 5676744
02/13/25, 588.00, 589.30, 566.00, 566.00, 6757261
02/12/25, 600.00, 600.30, 580.60, 585.70, 5489454
02/11/25, 605.30, 611.40, 598.40, 600.20, 3657691
02/10/25, 626.50, 627.60, 615.40, 615.40, 3411357
02/07/25, 627.50, 651.70, 627.00, 628.90, 4982517
02/06/25, 630.00, 635.90, 618.50, 635.00, 7136552
02/05/25, 630.00, 630.00, 593.20, 619.50, 6501780
02/04/25, 599.40, 602.20, 585.40, 592.60, 4075366
02/03/25, 599.80, 604.80, 587.00, 599.70, 2909700
01/31/25, 615.60, 616.50, 607.30, 607.30, 3837634
